totalX,totalY,touchX,touchY,targetX,targetY,timeStart,timeEnd,expID,name,age,hand,thumb,gender
360,640,316,469,324,461,1522690826024,1522690826687,1,"User 1",25,Right,6,Man
360,640,254,313,252,323,1522690827124,1522690827651,2,"User 1",25,Right,6,Man
360,640,356,213,259,629,1522690828055,1522690846260,3,"User 1",25,Right,6,Man
360,640,84,423,80,415,1522690846680,1522690847512,4,"User 1",25,Right,6,Man
360,640,113,510,108,532,1522690847915,1522690848783,5,"User 1",25,Right,6,Man
360,640,316,69,324,106,1522690849185,1522690849815,6,"User 1",25,Right,6,Man
360,640,247,53,245,50,1522690850218,1522690851040,7,"User 1",25,Right,6,Man
360,640,48,468,36,461,1522690851444,1522690852164,8,"User 1",25,Right,6,Man
360,640,327,317,336,319,1522690852575,1522690853014,9,"User 1",25,Right,6,Man
360,640,43,181,32,176,1522690853416,1522690854001,10,"User 1",25,Right,6,Man
360,640,326,332,324,319,1522690854404,1522690854927,11,"User 1",25,Right,6,Man
360,640,175,96,180,106,1522690855330,1522690855895,12,"User 1",25,Right,6,Man
360,640,169,576,157,577,1522690856298,1522690857027,13,"User 1",25,Right,6,Man
360,640,38,254,26,269,1522690857429,1522690857935,14,"User 1",25,Right,6,Man
360,640,84,118,108,106,1522690858338,1522690858929,15,"User 1",25,Right,6,Man
360,640,79,530,53,528,1522690859332,1522690859990,16,"User 1",25,Right,6,Man
360,640,96,487,108,461,1522690860393,1522690860932,17,"User 1",25,Right,6,Man
360,640,24,433,13,414,1522690861336,1522690861920,18,"User 1",25,Right,6,Man
360,640,316,584,324,603,1522690862322,1522690862927,19,"User 1",25,Right,6,Man
360,640,212,149,207,138,1522690863330,1522690863866,20,"User 1",25,Right,6,Man
360,640,54,321,39,336,1522690864268,1522690864698,21,"User 1",25,Right,6,Man
360,640,114,49,108,35,1522690865100,1522690865841,22,"User 1",25,Right,6,Man
360,640,272,530,251,530,1522690866244,1522690866774,23,"User 1",25,Right,6,Man
360,640,218,498,180,461,1522690867177,1522690867649,24,"User 1",25,Right,6,Man
360,640,118,311,101,296,1522690868052,1522690868433,25,"User 1",25,Right,6,Man
360,640,82,469,65,494,1522690868836,1522690869425,26,"User 1",25,Right,6,Man
360,640,50,66,36,35,1522690869827,1522690870646,27,"User 1",25,Right,6,Man
360,640,303,87,290,74,1522690871049,1522690871675,28,"User 1",25,Right,6,Man
360,640,187,401,180,390,1522690872078,1522690872563,29,"User 1",25,Right,6,Man
360,640,54,249,36,248,1522690872966,1522690873526,30,"User 1",25,Right,6,Man
360,640,132,189,130,188,1522690873929,1522690874385,31,"User 1",25,Right,6,Man
360,640,237,381,216,379,1522690874787,1522690875165,32,"User 1",25,Right,6,Man
360,640,256,187,252,177,1522690875568,1522690875948,33,"User 1",25,Right,6,Man
360,640,57,201,36,177,1522690876351,1522690876889,34,"User 1",25,Right,6,Man
360,640,302,405,324,390,1522690877293,1522690877762,35,"User 1",25,Right,6,Man
360,640,102,167,108,177,1522690878165,1522690878600,36,"User 1",25,Right,6,Man
360,640,132,547,108,603,1522690879003,1522690879770,37,"User 1",25,Right,6,Man
360,640,336,205,328,204,1522690880178,1522690880594,38,"User 1",25,Right,6,Man
360,640,184,515,177,480,1522690880997,1522690881471,39,"User 1",25,Right,6,Man
360,640,156,595,158,615,1522690881874,1522690883728,40,"User 1",25,Right,6,Man
360,640,105,238,108,248,1522690884131,1522690884625,41,"User 1",25,Right,6,Man
360,640,119,429,117,410,1522690885028,1522690885520,42,"User 1",25,Right,6,Man
360,640,297,286,271,278,1522690885922,1522690886304,43,"User 1",25,Right,6,Man
360,640,90,210,89,207,1522690886707,1522690887182,44,"User 1",25,Right,6,Man
360,640,325,424,345,409,1522690887584,1522690888032,45,"User 1",25,Right,6,Man
360,640,311,537,324,532,1522690888435,1522690888899,46,"User 1",25,Right,6,Man
360,640,195,163,193,181,1522690889301,1522690889704,47,"User 1",25,Right,6,Man
360,640,227,193,221,207,1522690890106,1522690890496,48,"User 1",25,Right,6,Man
360,640,79,183,79,185,1522690890899,1522690891345,49,"User 1",25,Right,6,Man
360,640,158,60,180,35,1522690891747,1522690892311,50,"User 1",25,Right,6,Man
360,640,128,398,108,390,1522690892714,1522690893177,51,"User 1",25,Right,6,Man
360,640,86,267,54,262,1522690893580,1522690894013,52,"User 1",25,Right,6,Man
360,640,262,494,252,461,1522690894415,1522690894889,53,"User 1",25,Right,6,Man
360,640,72,471,41,481,1522690895292,1522690895962,54,"User 1",25,Right,6,Man
360,640,42,379,36,390,1522690896364,1522690896861,55,"User 1",25,Right,6,Man
360,640,263,93,252,106,1522690897264,1522690898330,56,"User 1",25,Right,6,Man
360,640,282,198,274,186,1522690898734,1522690899165,57,"User 1",25,Right,6,Man
360,640,217,333,216,315,1522690899570,1522690899941,58,"User 1",25,Right,6,Man
360,640,30,87,20,68,1522690900347,1522690900838,59,"User 1",25,Right,6,Man
360,640,55,224,67,221,1522690901241,1522690901716,60,"User 1",25,Right,6,Man
360,640,290,358,293,338,1522690902118,1522690902445,61,"User 1",25,Right,6,Man
360,640,352,346,355,333,1522690902847,1522690903959,62,"User 1",25,Right,6,Man
360,640,187,97,209,90,1522690904362,1522690904913,63,"User 1",25,Right,6,Man
360,640,37,399,25,380,1522690905326,1522690905887,64,"User 1",25,Right,6,Man
360,640,338,180,324,177,1522690906289,1522690906733,65,"User 1",25,Right,6,Man
360,640,55,115,36,106,1522690907135,1522690907740,66,"User 1",25,Right,6,Man
360,640,213,33,223,21,1522690908142,1522690908641,67,"User 1",25,Right,6,Man
360,640,269,482,263,505,1522690909044,1522690909455,68,"User 1",25,Right,6,Man
360,640,194,536,180,532,1522690909858,1522690910348,69,"User 1",25,Right,6,Man
360,640,208,223,180,248,1522690910751,1522690911120,70,"User 1",25,Right,6,Man
360,640,45,267,14,271,1522690911522,1522690912007,71,"User 1",25,Right,6,Man
360,640,323,257,324,248,1522690912409,1522690912867,72,"User 1",25,Right,6,Man
360,640,184,153,180,177,1522690913269,1522690913769,73,"User 1",25,Right,6,Man
360,640,173,318,180,319,1522690914172,1522690914576,74,"User 1",25,Right,6,Man
360,640,203,365,202,339,1522690914979,1522690915400,75,"User 1",25,Right,6,Man
360,640,169,495,162,520,1522690915802,1522690916269,76,"User 1",25,Right,6,Man
360,640,60,376,47,365,1522690916672,1522690917181,77,"User 1",25,Right,6,Man
360,640,45,75,29,71,1522690917590,1522690918185,78,"User 1",25,Right,6,Man
360,640,300,443,203,627,1522690918588,1522690922458,79,"User 1",25,Right,6,Man
360,640,262,283,252,319,1522690922860,1522690923540,80,"User 1",25,Right,6,Man
360,640,323,58,324,35,1522690923944,1522690924693,81,"User 1",25,Right,6,Man
360,640,324,331,338,345,1522690925096,1522690925537,82,"User 1",25,Right,6,Man
360,640,150,60,170,20,1522690925941,1522690926461,83,"User 1",25,Right,6,Man
360,640,180,580,180,603,1522690926863,1522690927690,84,"User 1",25,Right,6,Man
360,640,55,310,36,319,1522690928093,1522690928609,85,"User 1",25,Right,6,Man
360,640,96,160,77,175,1522690929011,1522690929503,86,"User 1",25,Right,6,Man
